Sun Aug 15 22:13:48 CDT 2021
updating
4 pole features not found in sample features
midway2-0106.rcc.local:UCM:1ba2:c2c09700: 1172246957 us(980397 us!!!):  ucm_recv: UNKNOWN msg 0x9e5c68, ver 0
midway2-0106.rcc.local:UCM:1ba1:7b0dc700: 1172406444 us(739485 us!!!):  ucm_recv: UNKNOWN msg 0x189cb68, ver 0
midway2-0106.rcc.local:UCM:1ba4:269a0700: 1172406470 us(1172406470 us!!!):  ucm_recv: UNKNOWN msg 0x1089868, ver 0
midway2-0106.rcc.local:UCM:1b97:95f8f700: 1172622411 us(3215777 us!!!):  ucm_recv: UNKNOWN msg 0x134be68, ver 0
midway2-0106.rcc.local:UCM:1b9d:3d3ba700: 1172813888 us(1685993 us!!!):  ucm_recv: UNKNOWN msg 0xe74b68, ver 0
midway2-0106.rcc.local:UCM:1ba3:7947a700: 1172803774 us(960403 us!!!):  ucm_recv: UNKNOWN msg 0x1faf868, ver 0
midway2-0106.rcc.local:UCM:1ba5:3599f700: 1172846909 us(1172846909 us!!!):  ucm_recv: UNKNOWN msg 0x232b768, ver 0
midway2-0106.rcc.local:UCM:1b9e:37ac8700: 1173048101 us(1573959 us!!!):  ucm_recv: UNKNOWN msg 0x282bd68, ver 0
midway2-0106.rcc.local:UCM:1ba2:c2c09700: 1173040696 us(793739 us!!!):  ucm_recv: UNKNOWN msg 0x9e5d68, ver 0
midway2-0106.rcc.local:UCM:1b98:7dbf0700: 1173222152 us(3245994 us!!!):  ucm_recv: UNKNOWN msg 0x202a168, ver 0
midway2-0106.rcc.local:UCM:1b9f:eebb0700: 1173242078 us(1559548 us!!!):  ucm_recv: UNKNOWN msg 0x2660c68, ver 0
midway2-0106.rcc.local:UCM:1ba4:269a0700: 1173226491 us(820021 us!!!):  ucm_recv: UNKNOWN msg 0x1089968, ver 0
midway2-0106.rcc.local:UCM:1ba6:d8116700: 1173228380 us(1173228380 us!!!):  ucm_recv: UNKNOWN msg 0x1765868, ver 0
midway2-0106.rcc.local:UCM:1b99:ee939700: 1173630870 us(3110301 us!!!):  ucm_recv: UNKNOWN msg 0x1a4de68, ver 0
midway2-0106.rcc.local:UCM:1ba0:ddae4700: 1173643260 us(1580203 us!!!):  ucm_recv: UNKNOWN msg 0x11e3f68, ver 0
midway2-0106.rcc.local:UCM:1ba3:7947a700: 1173623801 us(820027 us!!!):  ucm_recv: UNKNOWN msg 0x1faf968, ver 0
midway2-0106.rcc.local:UCM:1ba5:3599f700: 1173722805 us(875896 us!!!):  ucm_recv: UNKNOWN msg 0x232b868, ver 0
midway2-0106.rcc.local:UCM:1ba7:3a675700: 1173720596 us(1173720596 us!!!):  ucm_recv: UNKNOWN msg 0xcb0868, ver 0
midway2-0106.rcc.local:UCM:1ba1:7b0dc700: 1174116843 us(1710399 us!!!):  ucm_recv: UNKNOWN msg 0x189cc68, ver 0
