wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE68,PRES68,IF68WHO,VOTE72,PRES72,IF72WHO,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,CAPPUN2,gunlaw,courts,grass,relig,denom,other,fund,attend,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,racmar,racdin,racpush,racopen,raclive,racclos,racdis,racinteg,rachome,happy,hapmar,health,life,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,aged,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,classy,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,aborct,xmarsex,homosex,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,strike,civright,antiwar,prowar,school,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,povline,incdef,realinc,coninc,ethnic,ethnum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,commun,cohort,marcohrt,sampcode,wtssall
working fulltime,b,e,,c,c,self-employed,b,found,b,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,b,yes,working fulltime,c,e,,c,c,someone else,d,b,verbatims for sp,"found, coded",found,c,d,"management, scientific, and technical consulting services","found, coded",found,a,d,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,b,c,c,c,c,c,c,high school,high school,high school,high school,female,white,50000 to 250000,middle atlantic,different state,mother & father,,yes,yes,yes,above average,d,1,2,1,2,c,c,$25000 or more,south atlantic,"uninc,lrg city",other urban,11,d,c,c,c,c,b,c,c,c,c,c,c,c,c,d,d,c,d,not str republican,voted,nixon,,voted,nixon,,about right,too little,too little,too little,about right,too little,about right,about right,about right,about right,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,"yes,favor",favor,not harsh enough,not legal,protestant,no denomination,,moderate,lt once a year,no,protestant,episcopal,,liberal,,,,,,,,,no,not object,disagree slightly,cant discriminate,no,,,,,very happy,very happy,good,exciting,helpful,fair,can trust,very great deal,very great deal,very great deal,very great deal,great deal,only some,hardly any,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,3 least desirable,not mentioned,1 most desirable,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,not mentioned,not mentioned,3 most desirable,not mentioned,1 least desirable,a bad idea,disagree,,,disagree,disagree,disagree,agree,disagree,disagree,very satisfied,continue working,third,fourth,second,fifth,most impt,middle class,,satisfied,better,above average,no,,no,,no,no,neither belongs,both equally,yes,yes,yes,yes,yes,yes,yes,sometimes wrong,sometimes wrong,,,,,illegal under 18,yes,no,no,no,no,no,no,,,no,,,yes,,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,standard <x>,not poor,"20,001 +",e,e,germany,names 1,d,b,c,b,c,c,agricultural and forestry production managers,accounting and bookkeeping clerks,management and organization analysts,c,c,c,c,c,c,d,d,d,yes,active part,stay in,"bad, not worst",c,c,140,c
working fulltime,c,e,,b,c,someone else,d,found,d,verbatims for r,"found, coded",found,d,e,c,"found, coded",found,divorced,c,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,e,e,,e,e,verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,c,c,e,e,e,high school,,lt high school,,male,white,"country,nonfarm",e. sou. central,different state,mother,parent died,no,,,below average,b,0,0,0,1,e,c,$20000 - 24999,south atlantic,"suburb, lrg city","suburb, 13-100",10,b,c,c,c,d,c,e,e,e,e,e,e,e,e,e,e,e,e,independent,voted,wallace,,voted,nixon,,about right,too little,too little,too much,about right,about right,about right,too much,about right,about right,too much,not allowed,not allowed,not remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"yes,favor",oppose,not harsh enough,legal,protestant,baptist-dk which,,fundamentalist,sevrl times a yr,yes,protestant,methodist-dk which,,moderate,,,,,,,,,,,,owner decides,no,,,,no,pretty happy,,good,routine,lookout for self,take advantage,can't be too careful,some,quite a bit,quite a bit,great deal,great deal,a great deal,only some,only some,hardly any,only some,only some,only some,only some,hardly any,only some,only some,only some,not mentioned,1 most desirable,3 most desirable,1 least desirable,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,3 least desirable,a bad idea,disagree,agree,disagree,disagree,agree,agree,agree,agree,disagree,mod. satisfied,stop working,third,fourth,fifth,second,most impt,,upper middle class,more or less,stayed same,above average,yes,yes,yes,yes,no,no,r belongs,hard work,yes,yes,yes,yes,yes,yes,yes,almst always wrg,not wrong at all,no,,no,yes,illegal under 18,yes,no,no,no,no,no,no,,,no,,,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,phone in home,cooperative,good,alternate <y>,not poor,"20,001 +",d,d,,cannot name any,b,e,e,c,e,e,air traffic controllers,,,d,d,d,e,e,e,e,e,e,yes,active part,stay in,"bad, not worst",c,c,142,b
temp not working,e,c,,b,d,someone else,c,found,b,verbatims for r,"found, coded",found,c,d,b,"found, coded",found,married,c,no,keeping house,e,e,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,investigation and security services,"found, coded",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,b,c,c,c,lt high school,,,,male,white,town lt 50000,south atlantic,same city,father & stpmother,parent died,,,,above average,c,0,0,0,2,c,c,$8000 to 9999,south atlantic,"suburb, lrg city","suburb, 13-100",10,b,b,c,d,c,d,c,c,c,c,c,c,c,c,d,c,b,c,"ind,near rep",voted,nixon,,voted,nixon,,about right,about right,about right,about right,too little,too little,about right,about right,about right,too much,too much,not allowed,not allowed,not remove,not allowed,not allowed,not remove,not allowed,fired,not remove,not allowed,not allowed,not remove,"yes,favor",favor,not harsh enough,not legal,protestant,presbyterian-dk wh,,liberal,sevrl times a yr,no,protestant,methodist-dk which,,moderate,protestant,presbyterian-dk wh,,liberal,protestant,methodist-dk which,,moderate,,,,owner decides,yes,,,,no,very happy,very happy,good,routine,lookout for self,fair,can trust,great deal,great deal,great deal,great deal,great deal,only some,only some,only some,only some,only some,only some,only some,only some,hardly any,only some,only some,a great deal,not mentioned,not mentioned,1 most desirable,not mentioned,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,3 least desirable,3 most desirable,not mentioned,3 least desirable,a bad idea,agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,,,fourth,fifth,third,most impt,second,middle class,,satisfied,stayed same,average,yes,no,,,no,no,neither belongs,hard work,yes,yes,yes,yes,yes,yes,yes,always wrong,always wrong,,no,yes,no,illegal under 18,no,no,no,no,no,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,phone in home,"friendly,interested",good,standard <x>,not poor,"5,000 to 9,999",c,c,ireland,names 1,b,c,c,b,c,c,human resource managers,accounting and bookkeeping clerks,administrative and executive secretaries,d,d,d,c,c,c,c,c,c,no,active part,stay in,worst kind,c,c,142,c
keeping house,e,e,yes,c,c,someone else,d,not found,c,,"not found, coded","not found, assigned",c,c,d,"not found, coded","not found, assigned",widowed,c,no,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,c,e,e,e,high school,,,,female,white,town lt 50000,w. sou. central,different state,mother,parent died,yes,yes,yes,average,c,0,0,0,2,c,c,$25000 or more,south atlantic,"suburb, lrg city","suburb, 13-100",10,c,c,c,c,c,c,e,e,e,e,e,e,e,e,e,e,e,e,not str democrat,voted,nixon,,voted,nixon,,about right,too little,too little,about right,too little,too little,too little,about right,about right,too much,too much,not allowed,not allowed,remove,allowed,not allowed,not remove,not allowed,fired,remove,not allowed,not allowed,remove,"yes,favor",favor,not harsh enough,not legal,protestant,methodist-dk which,,moderate,every week,yes,protestant,methodist-dk which,,moderate,,,,,,,,,,,,owner decides,no,,,,no,pretty happy,,excellent,routine,helpful,fair,can trust,very great deal,great deal,very great deal,very great deal,very great deal,only some,only some,only some,only some,hardly any,only some,only some,only some,hardly any,only some,only some,only some,not mentioned,3 least desirable,3 most desirable,not mentioned,not mentioned,3 most desirable,1 least desirable,not mentioned,not mentioned,1 most desirable,not mentioned,3 least desirable,not mentioned,a bad idea,disagree,agree,disagree,disagree,disagree,disagree,agree,disagree,disagree,very satisfied,,third,fifth,second,fourth,most impt,middle class,,satisfied,better,above average,,,,,no,no,neither belongs,hard work,yes,no,yes,no,yes,no,yes,always wrong,always wrong,no,yes,yes,no,illegal to all,no,no,no,no,no,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,standard <x>,not poor,"20,001 +",e,e,,cannot name any,c,e,e,c,e,e,typists and word processing operators,,,c,c,c,e,e,e,e,e,e,no,active part,stay in,worst kind,c,c,142,c
working fulltime,d,e,,d,b,someone else,c,found,c,verbatims for r,"found, coded",found,c,b,c,"found, coded",found,married,c,yes,working fulltime,c,e,,c,c,someone else,c,b,verbatims for sp,"found, coded",found,c,c,business support services,"found, coded",found,b,c,someone else,d,b,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,c,high school,lt high school,high school,high school,female,white,city gt 250000,south atlantic,"same st,dif city",mother & father,,no,,,average,c,0,1,1,2,c,c,$10000 - 14999,south atlantic,"suburb, lrg city","suburb, 13-100",10,d,c,c,c,b,b,c,c,c,c,c,c,c,b,d,c,c,c,independent,voted,nixon,,voted,nixon,,too much,too little,about right,about right,about right,too little,too little,too much,too much,too much,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,remove,allowed,allowed,remove,,favor,not harsh enough,not legal,protestant,lutheran-dk which,,moderate,never,no,protestant,lutheran-dk which,,moderate,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,,,owner decides,no,,,,no,very happy,very happy,excellent,exciting,helpful,depends,can't be too careful,quite a bit,great deal,very great deal,great deal,very great deal,a great deal,hardly any,hardly any,a great deal,a great deal,only some,a great deal,only some,hardly any,,only some,only some,3 most desirable,not mentioned,3 most desirable,3 least desirable,not mentioned,1 most desirable,1 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,depends,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,mod. satisfied,continue working,most impt,fourth,second,third,fifth,middle class,,more or less,better,average,yes,yes,no,,no,no,neither belongs,hard work,yes,yes,yes,yes,yes,no,yes,almst always wrg,always wrong,no,yes,yes,yes,illegal to all,no,yes,no,no,no,no,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,phone in home,cooperative,fair,standard <x>,not poor,"5,000 to 9,999",c,c,germany,names 1,c,c,c,c,b,c,waiters,real estate agents and property managers,valuers and loss assessors,b,c,b,c,d,c,c,c,c,yes,active part,stay in,ok for some,c,c,142,c
other,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,b,e,,b,e,someone else,c,d,verbatims for sp,"found, coded",found,d,d,air transportation,"found, coded",found,c,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,d,high school,high school,high school,high school,female,white,town lt 50000,south atlantic,same city,mother & father,,no,,,average,c,0,0,0,2,c,c,$25000 or more,south atlantic,"suburb, lrg city","suburb, 13-100",10,c,c,c,c,c,c,c,c,c,d,c,d,d,c,c,b,b,c,"ind,near rep",voted,nixon,,voted,nixon,,about right,about right,about right,about right,about right,too little,too little,about right,about right,too much,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,"no,dont favor",favor,,not legal,protestant,baptist-dk which,,fundamentalist,nrly every week,yes,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,,,owner decides,no,,,,no,very happy,very happy,excellent,exciting,lookout for self,fair,can trust,very great deal,very great deal,very great deal,very great deal,very great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,only some,only some,only some,only some,a great deal,a great deal,not mentioned,not mentioned,1 most desirable,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,3 least desirable,3 most desirable,not mentioned,not mentioned,1 least desirable,a bad idea,disagree,agree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,,,third,fifth,fourth,second,most impt,,upper middle class,satisfied,better,above average,,,yes,no,no,yes,spouse belongs,hard work,yes,yes,yes,yes,yes,yes,yes,always wrong,,yes,no,no,yes,legal,yes,no,no,no,no,no,yes,both,4+ times,no,,,no,,,,,,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,phone in home,,,alternate <y>,not poor,"20,001 +",e,e,ireland,chooses 1 of 2+,c,d,b,c,c,c,receptionists (general),"railway brake, signal and switch operators",aircraft pilots and related associate professionals,c,c,b,c,c,d,d,d,d,yes,active part,stay in,worst kind,c,c,142,c
working fulltime,c,e,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,c,b,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,c,d,verbatims for sp,"found, coded",found,c,c,"textile product mills, except carpet and rug","found, coded",found,d,b,someone else,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,b,c,e,b,c,lt high school,,lt high school,high school,male,white,farm,south atlantic,same city,mother & father,,yes,yes,yes,average,c,1,0,0,4,c,d,$3000 to 3999,south atlantic,open country,other rural,2,d,c,c,b,c,c,d,c,c,b,b,b,d,c,c,b,b,a,strong republican,did not vote,,nixon,did not vote,,nixon,too much,too little,,too much,too much,too much,too much,too much,too little,too little,too little,allowed,not allowed,remove,allowed,allowed,not remove,allowed,not fired,not remove,not allowed,not allowed,remove,"no,dont favor",favor,not harsh enough,not legal,none,,,liberal,never,no,other,,holiness; church of holiness,fundamentalist,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,yes,not object,agree strongly,owner decides,no,,,,no,pretty happy,pretty happy,good,routine,lookout for self,take advantage,can't be too careful,a fair amount,a fair amount,a fair amount,a fair amount,a fair amount,only some,hardly any,only some,only some,only some,hardly any,only some,only some,only some,only some,only some,only some,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,3 most desirable,not mentioned,3 least desirable,1 least desirable,not mentioned,a good idea,disagree,disagree,disagree,agree,agree,disagree,agree,agree,agree,very satisfied,continue working,second,third,fifth,fourth,most impt,working class,,not at all sat,stayed same,below average,yes,yes,no,,no,no,neither belongs,hard work,no,yes,yes,no,no,no,no,always wrong,always wrong,no,yes,yes,yes,illegal to all,no,no,no,no,no,no,yes,both,4+ times,yes,both,4+ times,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,phone in home,cooperative,good,standard <x>,poor,"-4,999 to -1,000",c,b,,cannot name any,c,c,d,d,d,d,building construction labourers,crop farm labourers,manufacturing labourers not elsewhere classified,c,b,c,b,b,b,c,b,c,yes,stay out,stay in,"bad, not worst",d,d,198,e
working parttime,b,e,,d,c,self-employed,b,found,c,verbatims for r,"found, coded",found,b,b,b,"found, coded",found,married,c,no,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,d,b,someone else,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,e,c,b,e,c,b,lt high school,,lt high school,lt high school,male,white,farm,south atlantic,same city,mother & stpfather,parent died,no,,,average,c,0,0,0,4,c,c,$3000 to 3999,south atlantic,open country,other rural,2,b,c,b,c,c,c,e,e,e,e,e,e,d,c,c,b,b,a,strong republican,voted,wallace,,voted,other,,too much,about right,too little,about right,too little,too little,too little,,too much,too much,too much,not allowed,not allowed,remove,not allowed,not allowed,remove,allowed,fired,remove,not allowed,not allowed,remove,"yes,favor",oppose,not harsh enough,not legal,protestant,baptist-dk which,,fundamentalist,every week,yes,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,yes,not object,agree strongly,owner decides,no,,,,no,pretty happy,very happy,good,routine,lookout for self,fair,can't be too careful,great deal,great deal,very great deal,great deal,great deal,hardly any,a great deal,hardly any,only some,hardly any,only some,a great deal,only some,only some,,a great deal,a great deal,3 most desirable,not mentioned,1 most desirable,1 least desirable,not mentioned,3 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,not mentioned,a bad idea,agree,agree,disagree,agree,agree,disagree,agree,agree,agree,very satisfied,continue working,third,fourth,fifth,most impt,second,working class,,satisfied,stayed same,average,no,,,,no,no,neither belongs,hard work,yes,no,yes,no,yes,no,no,always wrong,always wrong,no,yes,yes,,illegal to all,no,no,no,no,no,no,no,,,no,,,no,,,,,,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,no,no,phone in home,cooperative,fair,standard <x>,poor,-999 to 999,c,b,scotland,names 1,c,c,e,d,b,e,crop farm labourers,agricultural and forestry production managers,,b,b,b,c,c,c,e,e,e,yes,active part,stay in,worst kind,c,c,198,e
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,working parttime,b,e,,d,c,self-employed,b,b,verbatims for sp,"found, coded",found,c,c,crop production,"found, coded",found,c,c,self-employed,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,d,c,d,b,e,e,b,lt high school,,,lt high school,female,white,farm,south atlantic,same city,mother & father,,no,,,below average,c,0,1,0,2,c,c,$3000 to 3999,south atlantic,open country,other rural,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,b,c,c,c,strong republican,voted,nixon,,voted,nixon,,too much,about right,about right,too much,too little,too little,too little,too much,about right,too much,too much,not allowed,not allowed,remove,allowed,allowed,not remove,not allowed,fired,remove,not allowed,not allowed,remove,"no,dont favor",oppose,not harsh enough,not legal,protestant,other,churches of god(except with christ and holiness),fundamentalist,more thn once wk,yes,protestant,other,churches of god(except with christ and holiness),fundamentalist,protestant,other,churches of god(except with christ and holiness),fundamentalist,protestant,other,churches of god(except with christ and holiness),fundamentalist,yes,strongly object,agree strongly,owner decides,no,,,,no,very happy,very happy,fair,routine,helpful,take advantage,can't be too careful,very great deal,a fair amount,a fair amount,very great deal,very great deal,only some,a great deal,a great deal,only some,only some,only some,only some,only some,hardly any,a great deal,only some,a great deal,3 most desirable,not mentioned,1 most desirable,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,3 least desirable,1 least desirable,not mentioned,a bad idea,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,very satisfied,,most impt,fourth,second,third,fifth,,middle class,satisfied,better,average,no,,no,,no,no,neither belongs,hard work,yes,no,yes,no,no,no,no,always wrong,always wrong,yes,yes,yes,yes,illegal to all,no,no,no,no,no,no,no,,,no,,,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,phone in home,"friendly,interested",fair,alternate <y>,borderline,-999 to 999,c,b,,cannot name any,e,c,c,e,d,b,,crop farm labourers,agricultural and forestry production managers,e,e,e,b,b,b,c,c,c,no,stay out,pull out,worst kind,b,b,198,c
keeping house,e,e,,d,e,,d,found,e,no verbatims for r,"found, no answer",found,e,e,e,"found, no answer",found,married,c,no,working parttime,c,e,,d,c,self-employed,b,b,verbatims for sp,"found, coded",found,c,c,crop production,"found, coded",found,c,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,b,c,c,c,c,high school,lt high school,,,female,white,town lt 50000,south atlantic,same city,mother & father,,yes,no,yes,average,c,1,0,0,3,c,c,$4000 to 4999,south atlantic,open country,other rural,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,b,c,c,c,strong republican,voted,nixon,,did not vote,,nixon,about right,about right,about right,about right,too little,about right,about right,about right,about right,about right,about right,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"no,dont favor",oppose,not harsh enough,not legal,protestant,baptist-dk which,churches of god(except with christ and holiness),fundamentalist,sevrl times a yr,yes,protestant,baptist-dk which,churches of god(except with christ and holiness),fundamentalist,protestant,other,churches of god(except with christ and holiness),fundamentalist,protestant,other,churches of god(except with christ and holiness),fundamentalist,yes,not object,agree slightly,owner decides,no,,,,no,very happy,very happy,excellent,routine,helpful,fair,can trust,very great deal,very great deal,very great deal,very great deal,very great deal,a great deal,a great deal,only some,a great deal,only some,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,not mentioned,not mentioned,1 most desirable,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,1 least desirable,3 least desirable,a good idea,disagree,disagree,disagree,agree,agree,agree,disagree,disagree,disagree,very satisfied,,most impt,fifth,fourth,second,third,working class,,more or less,better,average,no,,no,,no,no,neither belongs,hard work,no,no,yes,no,no,no,yes,always wrong,always wrong,no,yes,yes,,illegal to all,no,no,no,no,no,no,no,,,no,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,phone in home,"friendly,interested",good,standard <x>,borderline,-999 to 999,c,c,,cannot name any,e,c,c,e,b,b,,agricultural and forestry production managers,agricultural and forestry production managers,e,e,e,c,c,c,c,c,c,yes,stay out,stay in,worst kind,d,d,198,d
retired,e,e,yes,d,b,someone else,d,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,keeping house,e,e,yes,d,b,someone else,d,c,verbatims for sp,"found, coded",found,b,b,"residential care facilities, without nursing","found, coded",found,c,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,e,c,d,b,e,e,a,lt high school,,,lt high school,male,white,farm,south atlantic,same city,mother & father,,no,,,above average,c,0,0,0,3,c,c,lt $1000,south atlantic,open country,other rural,2,d,c,c,b,b,c,d,c,c,b,b,b,c,c,b,c,c,c,strong republican,voted,nixon,,voted,nixon,,too much,about right,too little,about right,too much,too little,too little,too much,about right,too much,too much,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"yes,favor",favor,not harsh enough,not legal,protestant,other,churches of god(except with christ and holiness),fundamentalist,2-3x a month,yes,protestant,other,churches of god(except with christ and holiness),fundamentalist,protestant,other,churches of god(except with christ and holiness),fundamentalist,protestant,other,churches of god(except with christ and holiness),fundamentalist,yes,strongly object,agree strongly,owner decides,no,,,,no,very happy,very happy,poor,exciting,helpful,fair,can trust,great deal,great deal,great deal,great deal,a little,only some,only some,only some,only some,hardly any,a great deal,a great deal,a great deal,a great deal,only some,hardly any,a great deal,not mentioned,3 most desirable,3 most desirable,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,3 most desirable,1 least desirable,not mentioned,3 least desirable,not mentioned,a good idea,disagree,disagree,disagree,agree,disagree,disagree,agree,disagree,agree,,,fifth,fourth,third,second,most impt,,middle class,satisfied,stayed same,average,,,,,no,no,neither belongs,hard work,yes,no,yes,no,yes,no,yes,always wrong,always wrong,yes,yes,yes,no,illegal under 18,no,no,no,no,no,no,no,,,no,,,no,,,,,,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,phone in home,"friendly,interested",fair,alternate <y>,poor,"-4,999 to -1,000",b,b,england & wales,names 1,c,c,c,c,b,d,security guards,agricultural and forestry production managers,domestic cleaners and helpers,c,c,c,c,c,c,b,b,b,no,active part,stay in,worst kind,b,b,198,d
