wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,cappun,gunlaw,courts,wirtap,grass,relig,denom,other,fund,attend,reliten,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,racmar,racpush,racopen,raclive,racclos,racdis,racinteg,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,socrel,socommun,socfrend,socbar,aged,satjob,class,satfin,finalter,finrela,unemp,govaid,union,fehome,fework,fepres,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,news,tvhours,phone,coop,comprend,helppoor,helpnot,helpsick,helpblk,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,GENDER1,OLD1,MAR1,WHERE1,RELATE2,GENDER2,OLD2,MAR2,RELATE3,GENDER3,OLD3,MAR3,WHERE3,RELATE4,GENDER4,OLD4,MAR4,RELATE5,GENDER5,OLD5,MAR5,RELATE6,GENDER6,OLD6,MAR6,RELATE7,GENDER7,OLD7,MAR7,RELATE8,GENDER8,OLD8,MAR8,RELATE9,GENDER9,OLD9,RELATE10,OLD10,RELATE11,GENDER11,OLD11,MAR11,RELATE12,GENDER12,OLD12,MAR12,RELATE13,GENDER13,OLD13,RELATE14,GENDER14,OLD14,hhrace,respnum,hhtype,HHTYPE1,famgen,rplace,rvisitor,visitors,dateintv,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,sample,wtssall,vstrat,vpsu
retired,e,e,yes,c,c,someone else,b,not found,d,,"not found, no code assigned","not found, not assigned",e,e,b,"not found, coded","not found, assigned",married,c,no,keeping house,e,e,yes,c,c,someone else,c,c,,"not found, coded","not found, assigned",b,b,grocery stores,"not found, coded","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,b,e,e,b,lt high school,,lt high school,lt high school,male,white,city gt 250000,e. sou. central,different state,mother,"divorce,separated",no,,,below average,2,0,0,0,2,c,b,$6000 to 6999,,e. nor. central,"suburb, med city","suburb, 13-100",16,d,c,c,b,c,c,c,c,c,c,b,c,e,e,e,e,e,e,not str republican,voted,nixon,,slghtly conservative,too much,too little,too little,too little,too little,too little,too little,too little,too little,too much,too little,favor,favor,not harsh enough,disapprove,not legal,protestant,presbyterian-dk wh,,liberal,nrly every week,somewhat strong,yes,protestant,baptist-dk which,,fundamentalist,protestant,presbyterian-dk wh,,liberal,protestant,other,christian; central christian,moderate,disapprove,yes,agree strongly,owner decides,no,,,,no,"yes, object",,oppose,no,very happy,very happy,good,lookout for self,fair,can't be too careful,great deal,a little,very great deal,very great deal,great deal,only some,only some,a great deal,only some,hardly any,hardly any,hardly any,hardly any,only some,only some,hardly any,hardly any,a great deal,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,1 least desirable,not mentioned,3 most desirable,not mentioned,3 least desirable,3 least desirable,3 most desirable,sev times a week,almost daily,sev times a year,never,depends,,middle class,satisfied,stayed same,below average,no,yes,r belongs,agree,disapprove,no,agree,no,no,yes,no,yes,no,c,no,e,e,,not available,oppose,more difficult,always wrong,no,yes,yes,yes,illegal to all,no,no,,,no,,,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,everyday,e,phone in home,"friendly,interested",good,d,d,c,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,c,e,ireland,names 1,none,,male,d,married,,spouse,female,d,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"2adlts,mar,0kids","married couple, no children",1 gen,head of household,r. is household member,no visitors,c,d,e,c,d,e,c,uncodeable,,cashiers and ticket clerks,e,e,e,e,e,e,b,c,b,no,stay out,pull out,b,a,c,c,a,c,d,c,b,b,131,1970 fp,c,7016,1
working fulltime,c,e,,d,c,someone else,c,not found,c,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,c,c,e,high school,lt high school,lt high school,,male,white,town lt 50000,e. nor. central,same city,mother & father,,no,,,average,4,0,0,0,4,c,d,$15000 - 19999,$5000 to 5999,e. nor. central,"suburb, med city","suburb, 13-100",16,c,c,c,c,c,c,e,e,e,e,e,e,c,c,c,c,c,c,"ind,near rep",did not vote,,nixon,moderate,about right,too little,about right,too little,too little,too little,about right,too much,about right,too little,too much,oppose,favor,not harsh enough,approve,not legal,catholic,,,moderate,every week,somewhat strong,yes,catholic,,,moderate,,,,,,,,,disapprove,no,agree strongly,owner decides,,,,,no,no,no,oppose,no,pretty happy,,fair,lookout for self,take advantage,can't be too careful,some,a little,a fair amount,quite a bit,quite a bit,a great deal,a great deal,a great deal,a great deal,a great deal,only some,hardly any,a great deal,only some,only some,a great deal,a great deal,a great deal,not mentioned,1 most desirable,3 most desirable,not mentioned,3 most desirable,not mentioned,1 least desirable,3 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,almost daily,once a year,once a month,sev times a mnth,a good idea,very satisfied,middle class,more or less,better,average,no,no,neither belongs,disagree,approve,yes,disagree,yes,no,yes,no,yes,no,c,yes,d,b,not available,not available,favor,more difficult,always wrong,no,yes,yes,no,illegal under 18,yes,yes,adult,once,no,,,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,few times a week,c,phone in home,"friendly,interested",good,d,b,d,c,no,no,no,no,no,yes,yes,,,,,,,,,,c,not poor,"10,000 to 20,000",c,c,c,c,lithuania,chooses 1 of 2+,none,,male,c,married,,spouse,female,c,married,child,male,c,never married,,child,male,c,never married,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,4th person,"4+adlts,2mar,0kids","married couple, no children","2 gens, children",child,r. is household member,no visitors,c,c,d,e,d,c,e,domestic cleaners and helpers,product graders and testers (excluding foods and beverages),,b,b,b,c,c,c,e,e,e,yes,stay out,stay in,c,c,c,c,c,d,c,c,d,e,131,1970 fp,e,7016,1
working fulltime,c,e,,b,d,someone else,c,not found,c,,"not found, coded","not found, assigned",d,d,c,"not found, coded","not found, assigned",married,d,no,keeping house,e,e,yes,b,d,someone else,d,b,,"not found, coded","not found, assigned",d,d,elementary and secondary schools,"not found, coded","not found, assigned",c,b,someone else,c,c,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,d,c,c,d,bachelor,lt high school,lt high school,graduate,male,white,50000 to 250000,e. nor. central,"same st,dif city",mother & father,,yes,no,no,below average,5,0,1,2,2,c,c,$20000 - 24999,$20000 - 24999,e. nor. central,"suburb, med city","suburb, 13-100",16,b,c,b,d,d,d,c,a,c,d,c,d,d,c,c,b,b,b,strong republican,voted,nixon,,conservative,about right,about right,about right,too much,too little,about right,too much,too much,too much,too much,too much,favor,oppose,not harsh enough,disapprove,not legal,catholic,,,moderate,nrly every week,somewhat strong,no,catholic,,,moderate,none,,,liberal,protestant,lutheran-dk which,,moderate,disapprove,no,agree strongly,owner decides,no,,,,no,no,no,oppose,yes,pretty happy,pretty happy,excellent,helpful,fair,can trust,a fair amount,a fair amount,quite a bit,quite a bit,great deal,only some,only some,a great deal,a great deal,only some,only some,only some,only some,only some,hardly any,only some,only some,only some,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,1 most desirable,not mentioned,3 least desirable,sev times a mnth,once a year,sev times a year,once a month,a bad idea,mod. satisfied,middle class,more or less,worse,above average,no,no,neither belongs,disagree,approve,yes,agree,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,,sometimes wrong,yes,yes,no,no,illegal to all,no,yes,child,2-3 times,no,,,no,,,,,,yes,no,no,yes,yes,everyday,c,phone in home,cooperative,good,d,d,d,c,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,e,d,e,czechoslovakia,names 1,less than 2 yrs,army,male,c,married,,spouse,female,c,married,child,female,c,never married,,child,male,c,never married,child,female,c,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"2adlts,mar,1+kids",married couple w children,"2 gens, children",head of household,r. is household member,no visitors,c,b,d,b,b,d,b,pharmacists,building construction labourers,primary school teachers,e,d,e,c,b,c,d,d,c,yes,active part,stay in,c,c,c,c,c,c,c,c,c,c,131,1970 fp,c,7016,1
working fulltime,c,e,,c,c,someone else,d,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",widowed,c,no,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",b,c,self-employed,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,c,c,c,e,high school,high school,high school,,female,white,50000 to 250000,e. nor. central,"same st,dif city",mother & father,,no,,,average,1,0,0,0,1,e,c,$20000 - 24999,$8000 to 9999,e. nor. central,"suburb, med city","suburb, 13-100",16,b,c,c,d,d,d,e,e,e,e,e,e,c,c,d,c,c,c,strong republican,voted,nixon,,slghtly conservative,about right,too little,about right,too little,too little,too little,about right,about right,about right,too much,about right,,favor,not harsh enough,disapprove,not legal,protestant,methodist-dk which,,moderate,every week,strong,yes,protestant,methodist-dk which,,moderate,,,,,,,,,disapprove,no,disagree slightly,owner decides,no,,,,no,no,no,oppose,yes,very happy,,good,helpful,take advantage,can trust,very great deal,very great deal,very great deal,very great deal,very great deal,a great deal,only some,a great deal,a great deal,a great deal,hardly any,only some,a great deal,only some,a great deal,a great deal,only some,only some,not mentioned,not mentioned,1 most desirable,3 least desirable,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,3 least desirable,sev times a week,sev times a week,sev times a mnth,never,a bad idea,very satisfied,working class,not at all sat,stayed same,below average,no,no,neither belongs,disagree,approve,yes,disagree,yes,no,yes,yes,yes,no,c,no,e,e,available,not available,favor,more difficult,always wrong,no,yes,yes,no,illegal to all,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,c,c,c,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,d,not poor,"10,000 to 20,000",c,c,d,c,sweden,chooses 1 of 2+,none,,female,c,widowed,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,c,c,b,e,b,d,e,office supervisors,uncodeable,,c,c,c,e,e,e,e,e,e,no,active part,stay in,b,c,d,c,c,b,c,c,c,c,131,1970 fp,b,7016,1
working fulltime,c,e,,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned",married,c,no,keeping house,e,e,yes,b,d,someone else,d,b,,"not found, coded","not found, assigned",d,d,elementary and secondary schools,"not found, coded","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,e,e,d,d,graduate,,bachelor,bachelor,male,white,"country,nonfarm",w. sou. central,different state,mother,parent died,yes,no,yes,average,4,2,0,0,2,c,c,,,e. nor. central,city gt 250000,smsa's 13-100,275,c,c,c,c,c,c,c,a,c,d,c,d,e,e,e,e,e,e,"ind,near rep",voted,nixon,,moderate,about right,too little,too little,too little,too little,too little,about right,too little,about right,too much,about right,favor,favor,not harsh enough,disapprove,not legal,protestant,methodist-dk which,,moderate,once a month,not very strong,,catholic,,,moderate,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,disapprove,no,agree slightly,neither,,,,,no,no,"yes, object",oppose,yes,pretty happy,very happy,excellent,helpful,fair,can trust,some,great deal,very great deal,great deal,very great deal,only some,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,hardly any,only some,a great deal,only some,only some,not mentioned,not mentioned,not mentioned,3 least desirable,3 most desirable,not mentioned,1 least desirable,1 most desirable,3 most desirable,not mentioned,not mentioned,not mentioned,3 least desirable,sev times a year,once a month,sev times a mnth,once a month,a bad idea,mod. satisfied,middle class,satisfied,better,above average,no,no,neither belongs,disagree,approve,yes,agree,yes,no,yes,no,yes,no,c,uncertain,e,e,available,available,favor,,not wrong at all,no,no,no,yes,illegal under 18,no,no,,,yes,adult,once,no,,,,,,yes,no,no,yes,yes,everyday,c,phone in home,cooperative,good,c,c,c,c,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,d,not poor -- imputed,,e,e,e,e,germany,chooses 1 of 2+,2 to 4  years,army,male,b,married,,spouse,female,c,married,child,female,b,,,child,male,b,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"2adlts,mar,1+kids",married couple w children,"2 gens, children",head of household,r. is household member,no visitors,c,c,e,b,d,e,b,uncodeable,,primary school teachers,e,e,e,e,e,e,d,d,c,yes,active part,stay in,c,c,c,c,c,b,c,c,c,d,133,1970 fp,c,7017,1
temp not working,e,d,,c,c,self-employed,b,not found,d,,"not found, no code assigned","not found, not assigned",e,e,b,"not found, coded","not found, assigned",married,c,no,temp not working,e,a,,c,c,someone else,b,c,,"not found, coded","not found, assigned",c,c,construction,"not found, coded","not found, assigned",b,c,self-employed,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,e,c,c,e,e,c,high school,lt high school,lt high school,high school,male,white,50000 to 250000,e. nor. central,same city,mother & father,,no,,,average,6,0,0,2,4,c,e,$25000 or more,$25000 or more,e. nor. central,city gt 250000,smsa's 13-100,275,c,c,c,c,c,c,c,c,c,c,c,c,c,c,d,c,c,c,not str democrat,voted,nixon,,moderate,too little,too little,about right,too little,too little,too little,too much,too much,about right,too much,about right,favor,favor,not harsh enough,disapprove,not legal,catholic,,,moderate,more thn once wk,strong,yes,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,disapprove,no,disagree slightly,owner decides,no,,,,no,no,no,oppose,yes,very happy,very happy,good,helpful,fair,can trust,a fair amount,great deal,very great deal,very great deal,great deal,a great deal,a great deal,a great deal,only some,only some,only some,only some,hardly any,only some,a great deal,a great deal,hardly any,a great deal,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,3 most desirable,1 least desirable,not mentioned,not mentioned,3 most desirable,3 least desirable,3 least desirable,not mentioned,sev times a mnth,once a year,once a year,never,a bad idea,very satisfied,middle class,more or less,better,above average,no,no,r belongs,disagree,approve,yes,disagree,no,no,no,no,no,no,e,no,e,e,available,available,favor,more difficult,always wrong,yes,yes,yes,yes,illegal to all,no,no,,,no,,,no,,,,,,,,,,,everyday,c,phone in home,"friendly,interested",good,e,c,c,c,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,e,not poor,"20,001 +",e,e,e,e,germany,names 1,2 to 4  years,navy,male,c,married,,spouse,female,c,married,child,male,c,never married,,child,female,c,never married,child,male,c,never married,child,male,c,never married,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"4+adlts,2mar,1+kids",married couple w children,"2 gens, children",head of household,r. is household member,no visitors,c,c,b,c,d,d,c,uncodeable,uncodeable,accounting and bookkeeping clerks,e,e,e,e,e,e,c,c,c,no,active part,stay in,c,c,c,c,c,c,c,c,c,c,133,1970 fp,e,7017,1
keeping house,e,e,yes,b,d,someone else,d,not found,b,,"not found, coded","not found, assigned",d,d,c,"not found, coded","not found, assigned",married,c,no,working fulltime,c,e,,d,d,someone else,d,c,,"not found, coded","not found, assigned",d,d,"justice, public order, and safety activities","not found, coded","not found, assigned",b,c,self-employed,d,c,,"not found, coded","not found, assigned",c,d,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,d,d,e,d,high school,high school,,bachelor,female,white,town lt 50000,e. nor. central,"same st,dif city",mother & father,,no,,,average,2,0,0,0,2,c,c,$10000 - 14999,,e. nor. central,city gt 250000,smsa's 13-100,275,c,a,c,d,c,d,d,c,c,c,c,c,c,b,d,c,c,c,strong republican,voted,nixon,,moderate,too much,about right,too little,,too little,about right,about right,too much,too much,too much,about right,favor,favor,not harsh enough,disapprove,not legal,protestant,other,united holiness,fundamentalist,sevrl times a yr,not very strong,no,protestant,other,"church of christ, evangelical",fundamentalist,protestant,other,"unitarian, universalist",liberal,catholic,,,moderate,disapprove,no,agree strongly,cant discriminate,no,,,,no,no,no,oppose,yes,pretty happy,very happy,good,lookout for self,fair,can't be too careful,great deal,great deal,very great deal,great deal,great deal,only some,only some,hardly any,only some,only some,hardly any,only some,only some,only some,a great deal,only some,hardly any,only some,not mentioned,not mentioned,1 most desirable,3 least desirable,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,sev times a year,never,once a month,never,a bad idea,mod. satisfied,middle class,satisfied,better,average,no,no,neither belongs,agree,approve,yes,agree,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,available,available,oppose,more difficult,almst always wrg,no,yes,yes,yes,illegal under 18,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,b,d,b,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,e,c,e,,cannot choose 1,none,,male,d,married,,spouse,female,d,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,mar,0kids","married couple, no children",1 gen,spouse,r. is household member,no visitors,c,b,c,c,b,c,c,primary school teachers,real estate agents and property managers,police officers,e,d,d,c,d,c,d,d,d,yes,active part,pull out,c,c,c,c,c,c,c,c,b,b,133,1970 fp,c,7017,1
working fulltime,e,e,,c,c,self-employed,c,not found,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",widowed,c,yes,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",b,c,self-employed,d,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,c,c,c,e,e,e,high school,lt high school,lt high school,,male,white,town lt 50000,e. nor. central,"same st,dif city",mother & father,,yes,no,yes,above average,1,0,0,0,1,e,c,$8000 to 9999,$8000 to 9999,e. nor. central,city gt 250000,smsa's 13-100,275,b,c,c,c,c,c,e,e,e,e,e,e,c,c,d,c,c,c,independent,did not vote,,wouldnt vote,moderate,too much,,too little,,too little,,about right,too much,about right,too much,too much,favor,favor,not harsh enough,disapprove,,protestant,episcopal,,liberal,lt once a year,not very strong,,protestant,episcopal,,liberal,,,,,,,,,approve,,agree strongly,owner decides,no,,,,no,,no,oppose,yes,pretty happy,,good,helpful,fair,can trust,a fair amount,great deal,none,very great deal,quite a bit,a great deal,only some,a great deal,a great deal,hardly any,hardly any,only some,a great deal,only some,only some,hardly any,a great deal,only some,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,3 most desirable,not mentioned,3 least desirable,1 least desirable,once a year,never,sev times a week,almost daily,a bad idea,a little dissat,working class,satisfied,worse,average,no,no,neither belongs,agree,approve,yes,agree,yes,,yes,yes,yes,,c,inappropriate,e,e,available,,favor,more difficult,almst always wrg,,yes,yes,yes,illegal to all,no,no,,,yes,adult,,yes,no,no,yes,yes,yes,yes,,no,yes,yes,everyday,c,phone in home,"restless,impatient",good,d,d,d,c,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,d,not poor,"5,000 to 9,999",c,c,c,c,ireland,chooses 1 of 2+,2 to 4  years,navy,male,c,widowed,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,c,c,c,e,b,b,e,restaurant managers,restaurant managers,,c,c,c,c,c,c,e,e,e,yes,active part,,e,e,e,e,e,e,e,e,c,c,133,1970 fp,b,7017,1
working fulltime,c,e,,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,b,b,c,d,c,e,high school,high school,high school,,male,white,50000 to 250000,pacific,different state,mother & father,,yes,yes,yes,above average,1,0,0,0,1,e,c,$5000 to 5999,$5000 to 5999,e. nor. central,city gt 250000,smsa's 13-100,275,c,c,c,c,c,c,e,e,e,e,e,e,c,c,b,c,c,c,"ind,near dem",not eligible,,mcgovern,conservative,too little,about right,too little,too much,too much,too much,too little,too much,about right,too much,too much,favor,favor,not harsh enough,approve,not legal,none,,,liberal,never,no religion,yes,protestant,lutheran-dk which,,moderate,,,,,,,,,disapprove,no,agree strongly,cant discriminate,yes,yes,same block,stay integrated,"yes, object",,,oppose,yes,not too happy,,fair,lookout for self,fair,can't be too careful,a little,great deal,quite a bit,a fair amount,great deal,a great deal,only some,only some,only some,hardly any,only some,only some,a great deal,hardly any,only some,a great deal,only some,hardly any,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,3 least desirable,1 least desirable,3 least desirable,not mentioned,3 most desirable,not mentioned,not mentioned,1 most desirable,once a year,sev times a week,sev times a week,never,a bad idea,very satisfied,middle class,satisfied,stayed same,average,no,no,neither belongs,disagree,disapprove,yes,disagree,yes,no,yes,no,yes,no,c,yes,c,b,available,available,favor,easier,not wrong at all,no,no,no,yes,legal,no,yes,adult,once,no,,,no,,,,,,yes,no,yes,yes,yes,everyday,b,no phone,"friendly,interested",good,d,c,b,c,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,c,not poor,"1,000 to 4,999",c,c,c,c,sweden,names 1,2 to 4  years,air force,male,b,never married,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,c,c,c,e,d,c,e,uncodeable,metal working machine tool setters and operators,,e,e,e,c,c,c,e,e,e,yes,stay out,stay in,d,c,c,c,c,c,c,c,d,e,133,1970 fp,b,7017,1
keeping house,e,e,yes,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",b,b,c,"not found, coded","not found, assigned",married,c,no,retired,e,e,yes,c,c,self-employed,c,d,,"not found, no code assigned","not found, not assigned",e,e,uncodeable,"not found, no code assigned","not found, not assigned",c,c,self-employed,d,c,,"not found, coded","not found, assigned",c,c,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,c,c,c,d,high school,lt high school,lt high school,bachelor,female,white,city gt 250000,e. nor. central,"same st,dif city",mother & father,,no,,,average,2,0,0,0,2,c,b,$25000 or more,,e. nor. central,"suburb, lrg city","suburb, 13-100",3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,not str republican,voted,nixon,,moderate,too much,too little,about right,too little,too little,too little,too little,too much,about right,too much,about right,favor,favor,not harsh enough,disapprove,not legal,protestant,lutheran-dk which,,moderate,every week,not very strong,,protestant,lutheran-dk which,,moderate,protestant,other,church of christ,fundamentalist,protestant,other,church of christ,fundamentalist,disapprove,yes,agree strongly,owner decides,no,,,,no,"yes, object",,oppose,no,very happy,very happy,excellent,helpful,fair,can't be too careful,very great deal,great deal,very great deal,very great deal,very great deal,a great deal,only some,hardly any,only some,only some,hardly any,only some,a great deal,only some,only some,a great deal,hardly any,only some,3 most desirable,not mentioned,3 least desirable,not mentioned,1 least desirable,3 least desirable,3 most desirable,not mentioned,not mentioned,1 most desirable,not mentioned,not mentioned,not mentioned,sev times a mnth,sev times a mnth,sev times a mnth,never,a bad idea,very satisfied,middle class,satisfied,stayed same,above average,no,no,neither belongs,agree,disapprove,yes,agree,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,available,available,favor,more difficult,sometimes wrong,no,yes,yes,yes,illegal under 18,no,no,,,no,,,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,everyday,c,phone in home,cooperative,good,d,b,d,c,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,e,not poor,"20,001 +",e,e,e,e,germany,names 1,none,,male,c,married,,spouse,female,d,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,mar,0kids","married couple, no children",1 gen,spouse,r. is household member,no visitors,c,c,c,c,c,c,d,clerical support workers not elsewhere classified,shoemakers and related workers,uncodeable,c,c,c,c,c,b,e,e,e,yes,stay out,pull out,c,b,b,c,a,c,a,b,b,b,133,1970 fp,c,7017,1
