wrkstat,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,INCOME72,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE68,PRES68,IF68WHO,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,CAPPUN2,gunlaw,courts,relig,denom,other,fund,attend,racmar,racdin,racpush,racseg,raclive,racclos,racdis,racinteg,racobjct,racschol,racfew,rachaf,racmost,busing,racpres,racjob,happy,health,helpful,fair,trust,satjob,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,fework,fepres,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,premarsx,news,COOP2,comprend,povline,incdef,realinc,coninc,ethnic,ethnum,workdy,workhr,spdays,sphour,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,cohort,marcohrt,wtssall
keeping house,yes,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,c,no,working fulltime,,c,c,someone else,b,c,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",d,b,someone else,c,c,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,d,c,c,c,c,c,high school,high school,lt high school,high school,female,white,town lt 50000,new england,same city,mother & father,average,8,2,4,c,c,c,c,$20000 to $24999,new england,"suburb, med city",other urban,23,c,c,b,c,c,c,b,b,c,c,d,c,d,c,d,b,b,c,not str democrat,voted,nixon,,allowed,not allowed,remove,allowed,not allowed,remove,allowed,fired,remove,"yes,favor",favor,not harsh enough,catholic,,,moderate,every week,no,not object,disagree strongly,agree slightly,no,,,,no difference,same schools,no,no,"yes, object",favor,yes,as good a chance,very happy,good,helpful,fair,can trust,,working class,more or less,better,average,yes,yes,no,,disapprove,yes,no,no,no,no,no,no,d,yes,c,c,always wrong,everyday,friendly and eager,good,not poor,"10,000 to 20,000",d,d,ireland,names 1,,,mon to fri,reg day,c,c,c,c,c,b,data entry clerks,security guards,shop supervisors,c,c,c,c,c,c,c,c,c,c,c,c
working fulltime,,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",never married,e,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,c,d,e,high school,lt high school,high school,,male,white,town lt 50000,new england,same city,mother & father,average,3,0,0,c,c,c,c,$15000 to $17499,new england,"suburb, med city",other urban,23,c,c,a,c,d,c,e,e,e,e,e,e,c,c,b,c,c,c,"ind,near rep",not eligible,,nixon,allowed,allowed,not remove,allowed,allowed,not remove,not allowed,fired,not remove,"yes,favor",favor,not harsh enough,protestant,episcopal,,liberal,once a year,no,not object,disagree strongly,disagree strongly,no,,,,no difference,same schools,no,no,no,favor,yes,as good a chance,pretty happy,excellent,helpful,fair,can't be too careful,very satisfied,working class,satisfied,better,average,yes,yes,no,,approve,yes,no,yes,yes,yes,yes,yes,c,yes,c,c,not wrong at all,everyday,friendly and eager,good,not poor,"10,000 to 20,000",c,c,england & wales,names 1,mon to fri,reg day,,,d,c,e,c,d,e,toolmakers and related workers,uncodeable,,c,c,d,e,e,e,e,e,e,d,e,c
working fulltime,,c,c,someone else,b,not found,c,,"not found, coded","not found, assigned",c,c,b,"not found, coded","not found, assigned",married,c,no,working fulltime,,c,c,someone else,b,c,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,someone else,c,d,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,c,c,c,high school,lt high school,high school,high school,male,white,town lt 50000,south atlantic,different state,mother & father,below average,3,1,0,c,c,c,c,$12500 to $14999,e. sou. central,"uninc,lrg city",other urban,6,c,c,b,c,c,c,c,c,c,c,c,c,d,c,c,c,b,c,"ind,near dem",voted,wallace,,allowed,not allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"yes,favor",favor,not harsh enough,protestant,baptist-dk which,,fundamentalist,never,no,not object,agree slightly,,no,,,,no difference,same schools,no,"yes, object",,oppose,no,as good a chance,pretty happy,excellent,lookout for self,fair,can't be too careful,mod. satisfied,working class,more or less,stayed same,average,yes,yes,no,,disapprove,yes,yes,no,yes,yes,yes,no,c,yes,c,c,almst always wrg,less than once wk,friendly and eager,good,not poor,"10,000 to 20,000",c,c,,cannot name any,mon to fri,reg day,mon to fri,reg day,d,d,c,c,c,c,structural-metal preparers and erectors,heavy truck and lorry drivers,accounting and bookkeeping clerks,c,c,c,c,c,c,c,c,c,d,d,c
working fulltime,,c,c,someone else,c,not found,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,c,no,working fulltime,,c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,offices of physicians,"not found, coded","not found, assigned",b,c,self-employed,d,c,,"not found, coded","not found, assigned",c,d,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,d,d,c,c,bachelor,high school,high school,high school,male,white,big-city suburb,e. sou. central,,mother & father,average,2,0,0,c,c,c,c,$8000 to $9999,e. sou. central,"uninc,lrg city",other urban,6,b,c,c,c,c,c,c,c,c,c,c,c,c,b,d,c,c,c,not str republican,voted,nixon,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"yes,favor",favor,not harsh enough,none,,,liberal,never,no,not object,agree slightly,agree slightly,no,,,,no difference,same schools,"yes, object",,,oppose,no,as good a chance,pretty happy,good,lookout for self,take advantage,can't be too careful,a little dissat,middle class,more or less,better,average,no,,no,,approve,no,yes,yes,yes,yes,yes,yes,c,yes,e,c,sometimes wrong,everyday,cooperative,good,not poor,"5,000 to 9,999",c,c,,cannot name any,wkend plus,varies,"mon to fri,sat",reg day,c,c,c,b,c,c,restaurant managers,real estate agents and property managers,administrative and executive secretaries,c,c,c,c,d,c,c,c,c,d,d,c
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,b,no,working fulltime,,c,c,someone else,c,d,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,c,c,c,lt high school,lt high school,lt high school,lt high school,female,white,town lt 50000,e. sou. central,different state,mother & father,below average,5,3,0,c,c,c,c,$8000 to $9999,e. sou. central,"uninc,lrg city",other urban,6,e,e,e,e,e,e,c,c,c,c,c,c,c,c,c,c,c,c,"ind,near dem",did not vote,,nixon,not allowed,not allowed,not remove,not allowed,not allowed,,not allowed,fired,not remove,"no,dont favor",favor,not harsh enough,protestant,baptist-dk which,,fundamentalist,never,yes,strongly object,agree strongly,agree slightly,no,,,,"yes,would not like",separate schools,no,"yes, object",,oppose,no,as good a chance,very happy,excellent,lookout for self,take advantage,can't be too careful,,working class,not at all sat,better,average,yes,yes,no,,approve,no,yes,no,yes,no,no,no,c,no,e,e,always wrong,less than once wk,friendly and eager,good,not poor,"1,000 to 4,999",c,c,ireland,names 1,,,"mon to fri,sat",varies,e,c,d,e,b,c,,agricultural and forestry production managers,heavy truck and lorry drivers,e,e,e,c,c,c,c,c,c,d,d,c
school,yes,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",married,c,no,working fulltime,,c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,warehousing and storage,"not found, coded","not found, assigned",b,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,d,c,c,c,high school,high school,lt high school,high school,male,white,city gt 250000,e. sou. central,same city,mother & father,average,2,0,0,c,c,c,c,$8000 to $9999,e. sou. central,"uninc,lrg city",other urban,6,c,c,c,c,c,c,c,c,c,c,c,c,b,c,d,d,d,d,not str democrat,did not vote,,nixon,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"no,dont favor",favor,about right,protestant,baptist-dk which,,fundamentalist,nrly every week,yes,not object,agree slightly,disagree slightly,no,,,,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,very happy,excellent,lookout for self,fair,can trust,very satisfied,middle class,more or less,better,average,yes,no,no,,disapprove,yes,yes,yes,yes,yes,yes,yes,c,yes,c,c,sometimes wrong,everyday,friendly and eager,good,not poor,"5,000 to 9,999",c,c,scotland,names 1,,,mon to fri,reg day,c,b,c,d,b,c,uncodeable,office supervisors,administrative and executive secretaries,e,e,e,c,d,c,c,c,c,d,d,c
working fulltime,,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",divorced,b,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",d,c,self-employed,d,c,,"not found, coded","not found, assigned",c,c,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,c,c,e,high school,lt high school,lt high school,,female,white,50000 to 250000,e. sou. central,different state,mother & stpfather,average,2,0,1,c,b,c,c,$4000 to $5999,e. sou. central,"uninc,lrg city",other urban,6,c,c,c,c,c,c,e,e,e,e,e,e,c,c,c,c,c,c,independent,did not vote,,nixon,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,,favor,,protestant,other,lds--reorganized,fundamentalist,sevrl times a yr,no,mildly object,disagree slightly,disagree slightly,no,,,,no difference,,no,"yes, object",,oppose,no,as good a chance,pretty happy,good,helpful,fair,can't be too careful,mod. satisfied,working class,not at all sat,worse,below average,yes,yes,no,,,yes,yes,yes,yes,yes,yes,yes,c,yes,c,c,sometimes wrong,less than once wk,friendly and eager,good,not poor,"1,000 to 4,999",c,c,,cannot choose 1,mon to fri,reg day,,,c,c,e,d,c,e,uncodeable,hairdressers,,e,e,e,b,c,b,e,e,e,d,d,b
keeping house,yes,c,c,someone else,d,not found,d,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,c,no,working fulltime,,c,c,someone else,b,d,,"not found, no code assigned","not found, not assigned",e,e,"machinery manufacturing, n.e.c.","not found, coded","not found, assigned",b,c,someone else,d,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,c,b,c,e,c,c,lt high school,,lt high school,high school,female,white,city gt 250000,e. sou. central,same city,mother & father,average,4,2,0,c,c,c,c,$8000 to $9999,e. sou. central,"uninc,lrg city",other urban,6,c,c,b,c,d,c,c,c,c,c,c,c,c,c,d,c,b,c,not str republican,did not vote,,,allowed,not allowed,not remove,allowed,not allowed,not remove,not allowed,fired,remove,"no,dont favor",favor,not harsh enough,protestant,baptist-dk which,,fundamentalist,2-3x a month,yes,mildly object,,agree slightly,no,,,,"yes,would not like",separate schools,no,"yes, object",,oppose,no,,pretty happy,excellent,lookout for self,take advantage,can't be too careful,,working class,more or less,stayed same,average,yes,yes,no,,disapprove,no,yes,no,yes,no,yes,no,c,no,e,e,sometimes wrong,few times a week,friendly and eager,good,not poor,"1,000 to 4,999",c,c,,cannot choose 1,,,mon to fri,reg day,d,c,d,c,d,d,medical and dental prosthetic technicians,uncodeable,uncodeable,c,c,c,e,e,e,e,e,e,d,d,c
working fulltime,,b,c,someone else,d,not found,d,,"not found, coded","not found, assigned",d,d,d,"not found, coded","not found, assigned",never married,e,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",b,c,self-employed,d,c,,"not found, coded","not found, assigned",c,d,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,c,c,c,c,e,high school,high school,high school,,male,white,big-city suburb,e. sou. central,same city,mother & father,average,1,0,0,c,b,e,e,$10000 to $12499,e. sou. central,"uninc,lrg city",other urban,6,b,c,c,c,d,c,e,e,e,e,e,e,c,b,d,c,c,c,independent,voted,wallace,,not allowed,not allowed,remove,allowed,,not remove,allowed,fired,remove,"no,dont favor",oppose,not harsh enough,protestant,methodist-dk which,,moderate,sevrl times a yr,,mildly object,agree strongly,,no,,,,"yes,would not like",same schools,no,no,no,oppose,no,as good a chance,pretty happy,excellent,helpful,fair,can't be too careful,mod. satisfied,middle class,satisfied,better,average,yes,yes,no,,disapprove,yes,yes,no,yes,no,no,no,c,inappropriate,e,e,sometimes wrong,less than once wk,cooperative,good,not poor,"5,000 to 9,999",c,c,,cannot name any,no schedule,varies,,,b,c,e,c,c,e,air traffic controllers,real estate agents and property managers,,d,d,d,c,d,c,e,e,e,c,e,b
working fulltime,,c,c,someone else,d,not found,c,,"not found, coded","not found, assigned",c,c,d,"not found, coded","not found, assigned",divorced,c,,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,e,c,e,high school,,lt high school,,female,white,"country,nonfarm",e. sou. central,different state,mother,below average,3,2,0,c,b,c,c,$4000 to $5999,e. sou. central,"uninc,lrg city",other urban,6,c,c,c,c,c,c,e,e,e,e,e,e,e,e,e,e,e,e,not str democrat,did not vote,,humphrey,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"no,dont favor",favor,,protestant,other,"congregationalist, 1st congreg",liberal,2-3x a month,no,not object,disagree strongly,disagree strongly,no,,,,no difference,same schools,no,"yes, object",,favor,yes,as good a chance,not too happy,fair,helpful,depends,can't be too careful,very satisfied,working class,not at all sat,better,below average,yes,yes,no,,approve,yes,yes,yes,yes,yes,yes,yes,c,no,e,e,almst always wrg,few times a week,cooperative,fair,not poor,"1,000 to 4,999",c,c,scotland,names 1,mon to fri,reg day,,,c,e,e,c,e,e,administrative and executive secretaries,,,c,c,c,e,e,e,e,e,e,d,d,b
working fulltime,,c,c,someone else,b,not found,d,,"not found, no code assigned","not found, not assigned",e,e,d,"not found, no code assigned","not found, not assigned",married,c,no,keeping house,no,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,e,e,e,high school,graduate,high school,high school,male,white,big-city suburb,w. sou. central,same city,mother & father,above average,2,0,0,c,c,c,c,$6000 to $7999,w. sou. central,open country,other rural,2,d,c,b,c,c,c,e,e,e,e,e,e,c,c,b,c,d,c,not str democrat,not eligible,,other,allowed,not allowed,remove,allowed,allowed,not remove,,not fired,not remove,"no,dont favor",favor,not harsh enough,catholic,,,moderate,sevrl times a yr,,not object,agree slightly,disagree strongly,no,,,,no difference,same schools,no,no,no,oppose,yes,as good a chance,very happy,excellent,lookout for self,depends,depends,mod. satisfied,working class,satisfied,worse,average,yes,yes,yes,yes,disapprove,yes,,no,yes,no,,no,c,inappropriate,e,e,not wrong at all,everyday,friendly and eager,good,not poor,"1,000 to 4,999",c,c,,cannot choose 1,wkend plus,nights,,,c,c,e,d,c,e,uncodeable,jewellery and precious-metal workers,,e,e,e,c,c,c,e,e,e,d,d,c
working fulltime,,d,c,self-employed,b,not found,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,c,no,keeping house,yes,d,c,self-employed,c,c,,"not found, coded","not found, assigned",c,c,beauty salons,"not found, coded","not found, assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,c,b,c,e,high school,lt high school,lt high school,high school,male,white,farm,w. sou. central,same city,mother & father,average,2,0,0,c,c,c,c,$8000 to $9999,w. sou. central,open country,other rural,2,b,c,b,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c,not str democrat,voted,nixon,,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,"no,dont favor",oppose,not harsh enough,protestant,methodist-dk which,,moderate,sevrl times a yr,yes,strongly object,agree strongly,agree strongly,no,,,,no difference,same schools,no,"yes, object",,oppose,,as good a chance,very happy,good,lookout for self,fair,can trust,very satisfied,working class,more or less,better,average,no,,no,,approve,yes,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,sometimes wrong,everyday,friendly and eager,good,not poor,"5,000 to 9,999",c,c,,cannot choose 1,mon to fri,reg day,,,c,c,c,b,b,c,agricultural and forestry production managers,agricultural and forestry production managers,hairdressers,c,c,c,c,c,c,c,c,c,c,c,c
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,b,no,working fulltime,,d,c,self-employed,b,b,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,c,b,c,c,lt high school,lt high school,lt high school,high school,female,white,town lt 50000,w. sou. central,same city,m and f relatives,below average,3,0,1,c,c,c,c,$30000+,w. sou. central,open country,other rural,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,c,c,c,c,strong republican,voted,nixon,,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,,favor,not harsh enough,protestant,other,mennonite,fundamentalist,more thn once wk,yes,mildly object,agree slightly,agree slightly,no,,,,"yes,would not like",separate schools,no,"yes, object",,oppose,yes,as good a chance,pretty happy,good,helpful,fair,can trust,,middle class,more or less,stayed same,average,no,,no,,disapprove,no,no,no,,no,,no,c,no,e,e,always wrong,everyday,friendly and eager,good,not poor,"20,001 +",e,e,germany,names 1,,,wkend plus,varies,e,c,c,e,b,b,,agricultural and forestry production managers,agricultural and forestry production managers,e,e,e,c,c,c,c,c,c,c,c,c
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,c,no,working fulltime,,d,c,self-employed,b,b,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,c,c,c,c,c,c,lt high school,lt high school,lt high school,high school,female,white,farm,w. sou. central,same city,mother & father,average,2,0,0,c,c,c,c,$15000 to $17499,w. sou. central,open country,other rural,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,c,c,c,c,strong democrat,voted,nixon,,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,not fired,remove,"yes,favor",favor,not harsh enough,protestant,other,mennonite,fundamentalist,every week,yes,mildly object,agree strongly,disagree slightly,no,,,,no difference,separate schools,no,"yes, object",,oppose,no,as good a chance,pretty happy,excellent,helpful,fair,can trust,,working class,not at all sat,worse,average,no,,no,,approve,no,yes,yes,yes,yes,yes,yes,c,no,e,e,always wrong,everyday,cooperative,good,not poor,"10,000 to 20,000",c,c,russia,names 1,,,"mon to fri,sat",varies,e,c,c,e,b,b,,agricultural and forestry production managers,agricultural and forestry production managers,e,e,e,c,c,c,c,c,c,c,c,c
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,c,no,working fulltime,,d,c,self-employed,b,b,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,c,c,c,c,c,c,high school,lt high school,lt high school,high school,female,white,farm,w. sou. central,same city,mother & father,average,4,0,0,e,c,c,c,$8000 to $9999,w. sou. central,open country,other rural,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,c,c,c,c,not str republican,voted,nixon,,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,"no,dont favor",favor,not harsh enough,protestant,other,mennonite,fundamentalist,more thn once wk,,not object,agree slightly,disagree slightly,no,,,,"yes,would not like",same schools,no,"yes, object",,oppose,yes,as good a chance,very happy,good,depends,depends,can trust,,working class,more or less,stayed same,average,no,,yes,no,approve,yes,,no,yes,no,,no,c,no,e,e,always wrong,everyday,cooperative,good,not poor,"1,000 to 4,999",c,c,,cannot choose 1,,,wkend plus,varies,e,c,c,e,b,b,,agricultural and forestry production managers,agricultural and forestry production managers,e,e,e,c,c,c,c,c,c,c,c,c
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,c,no,working fulltime,,d,c,self-employed,b,b,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,e,c,c,b,b,b,lt high school,lt high school,lt high school,lt high school,female,white,farm,w. sou. central,same city,mother & father,average,5,0,0,c,e,c,c,$17500 to $19999,w. sou. central,open country,other rural,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,c,c,c,c,other party,did not vote,,wldnt vt-relig,not allowed,not allowed,remove,not allowed,not allowed,,not allowed,,,"no,dont favor",,about right,protestant,other,mennonite,fundamentalist,more thn once wk,no,not object,agree slightly,disagree strongly,no,,,,no difference,same schools,no,no,no,oppose,yes,as good a chance,very happy,good,helpful,fair,can trust,,middle class,satisfied,better,average,no,,no,,approve,no,no,no,yes,no,no,no,d,inappropriate,e,e,always wrong,everyday,cooperative,good,not poor,"10,000 to 20,000",d,d,russia,names 1,,,"mon to fri,sat",varies,e,c,c,e,b,b,,agricultural and forestry production managers,agricultural and forestry production managers,e,e,e,c,c,c,c,c,c,c,c,e
keeping house,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,c,no,working fulltime,,d,c,self-employed,b,b,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,d,c,c,a,a,b,lt high school,lt high school,lt high school,lt high school,female,white,farm,w. sou. central,same city,mother & father,average,5,0,0,c,e,c,d,$4000 to $5999,w. sou. central,open country,other rural,2,e,e,e,e,e,e,c,c,b,c,c,c,c,c,c,c,c,c,independent,did not vote,,,not allowed,not allowed,remove,,,,not allowed,fired,remove,"yes,favor",favor,not harsh enough,protestant,other,mennonite,fundamentalist,more thn once wk,yes,not object,,disagree slightly,no,,,,no difference,separate schools,no,,"yes, object",oppose,no,as good a chance,pretty happy,fair,helpful,fair,can trust,,working class,more or less,better,average,no,,yes,no,,no,yes,no,yes,no,,no,d,inappropriate,e,e,always wrong,everyday,cooperative,fair,borderline,-999 to 999,c,c,russia,names 1,,,mon to fri,varies,e,c,c,e,b,b,,agricultural and forestry production managers,agricultural and forestry production managers,e,e,e,c,c,c,c,c,c,c,c,e
working fulltime,,c,c,someone else,b,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",married,c,yes,keeping house,yes,c,c,someone else,b,c,,"not found, coded","not found, assigned",c,c,agricultural implement manufacturing,"not found, coded","not found, assigned",c,c,someone else,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,d,c,c,c,c,c,,high school,high school,high school,male,white,farm,w. sou. central,same city,mother & father,average,7,1,1,e,c,c,e,$8000 to $9999,w. sou. central,open country,other rural,2,c,c,a,c,d,c,c,c,c,c,c,c,c,c,c,c,c,c,not str democrat,voted,nixon,,not allowed,not allowed,remove,,not allowed,not remove,not allowed,not fired,remove,"yes,favor",oppose,not harsh enough,protestant,methodist-dk which,,moderate,sevrl times a yr,yes,mildly object,agree strongly,agree slightly,no,,,,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,very happy,good,helpful,fair,can't be too careful,very satisfied,middle class,more or less,stayed same,average,yes,no,no,,approve,yes,no,no,no,no,no,no,c,inappropriate,e,e,always wrong,everyday,friendly and eager,good,not poor,"1,000 to 4,999",c,c,,cannot choose 1,mon to fri,reg day,,,d,c,c,c,b,c,metal working machine tool setters and operators,agricultural and forestry production managers,administrative and executive secretaries,c,c,c,c,c,c,c,c,c,c,c,c
retired,yes,b,d,someone else,b,not found,c,,"not found, coded","not found, assigned",c,c,b,"not found, coded","not found, assigned",widowed,e,no,,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",d,b,d,c,e,e,e,lt high school,,,,male,white,farm,w. sou. central,different state,mother & father,below average,1,0,0,c,b,e,b,lt $2000,w. sou. central,"city,10-49999",other urban,15,c,c,c,c,c,c,e,e,e,e,e,e,c,c,c,c,c,c,strong democrat,did not vote,,nixon,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,not fired,remove,"no,dont favor",favor,not harsh enough,protestant,methodist-dk which,,moderate,sevrl times a yr,yes,strongly object,agree strongly,agree strongly,no,,,,"yes,would not like",separate schools,"yes, object",,,oppose,no,as good a chance,not too happy,good,lookout for self,take advantage,can't be too careful,,working class,satisfied,better,average,,,,,disapprove,yes,no,no,yes,no,no,no,c,inappropriate,e,e,always wrong,never,friendly and eager,good,borderline,-999 to 999,b,b,germany,names 1,,,,,b,c,e,d,b,e,forestry and related workers,agricultural and forestry production managers,,c,c,c,c,c,c,e,e,e,b,c,b
