wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,cappun,gunlaw,courts,courtsy,wirtap,relig,denom,other,fund,attend,reliten,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,prayery,racmar,racdin,raclive,racclos,racdis,racinteg,rachome,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,life,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,socrel,socommun,socfrend,socbar,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,getahead,fehome,fework,fepres,fepol,fepoly,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,xmarsex,homosex,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,commun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,wtssall
working fulltime,c,e,,c,c,someone else,d,not found,c,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,d,no,working fulltime,c,e,,c,c,someone else,b,c,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,c,c,c,c,c,high school,lt high school,high school,high school,male,white,city gt 250000,south atlantic,same city,mother & father,,yes,no,yes,average,c,c,c,c,c,c,c,$15000 - 19999,$10000 - 14999,south atlantic,city gt 250000,12 lrgst smsa's,906,b,c,c,c,c,c,c,c,b,c,c,c,c,c,b,c,c,c,not str democrat,voted,mcgovern,,moderate,too much,too little,too little,too little,too little,too little,too little,too little,too much,about right,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,oppose,favor,,,disapprove,catholic,,,moderate,never,not very strong,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,,local decision,no,not object,no,,,,no,no,no,no,oppose,yes,pretty happy,very happy,good,exciting,great deal,great deal,quite a bit,great deal,great deal,only some,only some,only some,hardly any,only some,only some,only some,hardly any,only some,only some,only some,hardly any,almost daily,never,sev times a mnth,sev times a year,disagree,disagree,disagree,disagree,agree,disagree,disagree,disagree,agree,mod. satisfied,continue working,fourth,fifth,third,second,most impt,middle class,more or less,better,average,yes,yes,yes,yes,no,no,both equally,disagree,approve,yes,,equal,yes,yes,yes,yes,yes,yes,c,yes,c,c,available,available,favor,more difficult,not wrong at all,sometimes wrong,not wrong at all,no,no,no,no,no,no,no,yes,yes,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,c,c,c,,cannot choose 1,none,,correct,correct,incorrect,correct,correct,correct,incorrect,incorrect,correct,incorrect,c,c,c,c,b,c,c,office supervisors,metal working machine tool setters and operators,data entry clerks,c,c,c,c,c,c,c,c,c,"bad, not worst",c,c,c,c,c,c,c,c,c,d,141,c
retired,e,e,yes,b,e,someone else,c,not found,b,,"not found, coded","not found, assigned",e,e,c,"not found, coded","not found, assigned",married,d,no,keeping house,e,e,yes,c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,wired telecommunications carriers,"not found, coded","not found, assigned",c,c,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,c,d,c,b,c,c,high school,lt high school,lt high school,lt high school,male,white,city gt 250000,south atlantic,same city,mother & father,,yes,yes,yes,average,c,c,c,c,c,c,c,$10000 - 14999,,south atlantic,city gt 250000,12 lrgst smsa's,906,b,c,b,e,d,d,c,c,c,c,c,c,c,c,c,c,c,c,not str democrat,voted,mcgovern,,liberal,too much,too much,about right,too much,about right,too little,about right,too much,too much,too much,about right,not allowed,not allowed,remove,allowed,allowed,not remove,not allowed,fired,remove,,,,oppose,favor,too harsh,,disapprove,catholic,,,moderate,more thn once wk,strong,catholic,,,moderate,catholic,,,moderate,catholic,,,moderate,disapprove,,,not object,no,,,,no,no,no,no,oppose,yes,very happy,very happy,good,routine,great deal,great deal,great deal,great deal,great deal,only some,a great deal,only some,hardly any,hardly any,only some,a great deal,only some,only some,a great deal,only some,hardly any,sev times a year,sev times a week,sev times a week,never,disagree,disagree,disagree,disagree,agree,agree,disagree,agree,disagree,,,fourth,most impt,fifth,second,third,working class,satisfied,stayed same,above average,,,,,no,no,hard work,agree,disapprove,no,,,,no,no,no,,no,c,no,e,e,available,not available,favor,more difficult,always wrong,always wrong,always wrong,yes,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,standard <x>,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,c,not poor,"5,000 to 9,999",c,e,c,e,czechoslovakia,names 1,none,,correct,correct,,correct,correct,,correct,incorrect,correct,incorrect,c,b,d,c,b,d,c,electrical engineers,uncodeable,accounting and bookkeeping clerks,e,d,e,e,e,e,c,c,c,"bad, not worst",c,c,c,c,d,d,d,d,b,b,141,c
keeping house,e,e,yes,b,d,someone else,d,not found,b,,"not found, coded","not found, assigned",d,d,c,"not found, coded","not found, assigned",married,c,no,working fulltime,d,e,,c,c,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,grocery stores,"not found, coded","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,b,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,c,c,d,d,c,d,bachelor,high school,high school,bachelor,female,white,city gt 250000,south atlantic,same city,mother & father,,yes,no,yes,average,c,c,c,c,c,c,c,$25000 or more,,south atlantic,city gt 250000,12 lrgst smsa's,906,c,a,c,d,d,d,b,b,c,d,d,d,c,c,c,c,c,c,strong democrat,voted,mcgovern,,liberal,too much,too little,too little,too little,about right,,too much,too little,too much,about right,too little,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,not allowed,not allowed,not remove,favor,favor,,,disapprove,catholic,,,moderate,2-3x a month,strong,catholic,,,moderate,catholic,,,moderate,protestant,methodist-dk which,,moderate,,,no,not object,yes,no,1-3 blks away,stay integrated,yes,no,no,"yes, object",oppose,yes,very happy,very happy,fair,exciting,great deal,great deal,very great deal,great deal,a fair amount,a great deal,a great deal,only some,only some,a great deal,a great deal,a great deal,a great deal,only some,only some,a great deal,hardly any,almost daily,sev times a year,once a year,never,disagree,disagree,disagree,agree,agree,disagree,agree,disagree,disagree,a little dissat,,third,fourth,second,fifth,most impt,middle class,satisfied,better,above average,no,,yes,,no,no,other,disagree,approve,yes,,equal,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,stay same,not wrong at all,sometimes wrong,always wrong,yes,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,c,not poor,"20,001 +",e,e,e,e,,cannot choose 1,none,,correct,correct,incorrect,correct,correct,correct,correct,correct,correct,correct,d,b,d,c,b,c,d,secondary education teachers,printers,uncodeable,d,d,d,c,c,c,e,e,e,"bad, not worst",d,c,c,c,d,d,c,d,c,c,141,c
keeping house,e,e,yes,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned",married,c,no,working fulltime,c,e,,b,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,other personal services,"not found, coded","not found, assigned",c,c,someone else,c,d,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,c,e,e,e,high school,lt high school,lt high school,,female,white,big-city suburb,south atlantic,same city,m and f relatives,parent died,,,,below average,c,c,c,c,c,c,c,$20000 - 24999,,south atlantic,city gt 250000,12 lrgst smsa's,906,c,b,c,c,c,c,b,a,c,d,d,c,d,c,c,c,c,c,not str republican,did not vote,,other,conservative,too much,too much,too little,too little,too little,too little,too little,about right,too much,too much,too much,allowed,allowed,not remove,allowed,allowed,not remove,not allowed,not fired,not remove,allowed,allowed,not remove,oppose,favor,not harsh enough,,disapprove,protestant,lutheran-dk which,,moderate,once a month,strong,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,disapprove,,no,not object,no,,,,no,no,no,no,oppose,no,very happy,very happy,fair,routine,quite a bit,great deal,great deal,great deal,a fair amount,a great deal,a great deal,a great deal,hardly any,hardly any,hardly any,a great deal,hardly any,a great deal,hardly any,a great deal,a great deal,once a month,once a month,never,never,disagree,agree,agree,agree,agree,disagree,agree,disagree,agree,very satisfied,,fourth,fifth,most impt,third,second,middle class,satisfied,stayed same,above average,no,,no,,no,no,hard work,agree,disapprove,no,agree,,yes,yes,yes,yes,no,no,c,inappropriate,e,e,not available,not available,favor,more difficult,always wrong,always wrong,always wrong,no,no,no,no,no,no,no,no,no,phone in home,"restless,impatient",fair,standard <x>,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,c,not poor,"10,000 to 20,000",c,e,d,e,germany,chooses 1 of 2+,none,,incorrect,correct,incorrect,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,c,c,d,b,c,c,b,manufacturing supervisors,steam engine and boiler operators,teaching professionals not elsewhere classified,c,c,c,c,c,d,c,d,c,"bad, not worst",c,d,a,c,a,c,c,c,b,b,141,c
working fulltime,e,e,,b,d,someone else,c,not found,c,,"not found, coded","not found, assigned",d,d,d,"not found, no code assigned","not found, not assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",b,b,c,c,e,d,e,high school,,high school,,female,white,50000 to 250000,south atlantic,same city,mother,parent died,yes,yes,yes,below average,b,c,c,c,b,e,c,$7000 to 7999,$7000 to 7999,south atlantic,city gt 250000,12 lrgst smsa's,906,c,c,c,c,d,c,e,e,e,e,e,e,e,e,e,e,e,e,not str republican,voted,nixon,,moderate,too much,too little,too little,too much,too little,about right,too little,about right,too much,too much,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,favor,favor,not harsh enough,,disapprove,protestant,episcopal,,liberal,every week,strong,protestant,episcopal,,liberal,,,,,,,,,disapprove,,no,not object,yes,no,1-3 blks away,stay integrated,yes,no,no,no,oppose,yes,pretty happy,,good,routine,a fair amount,very great deal,very great deal,very great deal,great deal,only some,only some,only some,hardly any,hardly any,only some,only some,only some,hardly any,only some,only some,only some,once a month,sev times a week,sev times a year,once a year,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,very satisfied,continue working,third,fourth,fifth,second,most impt,middle class,more or less,stayed same,average,yes,yes,no,,no,no,hard work,disagree,approve,yes,disagree,,yes,yes,yes,yes,yes,yes,c,yes,c,c,available,available,favor,easier,not wrong at all,sometimes wrong,not wrong at all,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,standard <x>,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,e,not poor,"5,000 to 9,999",c,c,c,c,england & wales,names 1,none,,correct,correct,correct,correct,correct,correct,incorrect,incorrect,correct,incorrect,c,b,e,e,b,e,e,nursing professionals,,,e,d,d,e,e,e,e,e,e,"bad, not worst",d,c,c,c,c,c,d,d,c,e,141,b
working fulltime,c,e,,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,b,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,c,c,e,high school,lt high school,lt high school,,male,white,big-city suburb,south atlantic,same city,mother & father,,yes,no,yes,below average,c,c,c,c,d,c,d,$10000 - 14999,$7000 to 7999,south atlantic,"uninc,lrg city",other urban,2,b,b,c,c,d,c,e,e,e,e,e,e,c,c,b,c,d,c,"ind,near dem",did not vote,,nixon,moderate,too much,too little,too little,about right,too little,too little,too much,about right,too much,about right,too much,not allowed,not allowed,remove,allowed,allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,oppose,favor,,,disapprove,protestant,other,,,more thn once wk,strong,protestant,methodist-dk which,,moderate,,,,,,,,,,required,no,not object,yes,no,4-8 blks away,stay integrated,no,no,"yes, object",,oppose,yes,pretty happy,,excellent,exciting,very great deal,very great deal,very great deal,very great deal,very great deal,only some,hardly any,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,only some,sev times a mnth,almost daily,once a year,once a month,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,very satisfied,continue working,fifth,most impt,fourth,second,third,working class,more or less,better,below average,yes,no,yes,no,no,no,hard work,agree,disapprove,yes,,equal,yes,no,yes,no,no,no,c,yes,c,c,available,not available,oppose,more difficult,almst always wrg,always wrong,always wrong,no,no,no,yes,no,yes,yes,yes,yes,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,c,not poor,"5,000 to 9,999",c,c,c,c,england & wales,chooses 1 of 2+,2 to 4  years,navy,incorrect,correct,incorrect,correct,incorrect,correct,incorrect,incorrect,incorrect,incorrect,b,c,d,e,c,c,e,manufacturing supervisors,carpenters and joiners,,c,c,c,c,c,c,e,e,e,worst kind,c,c,c,c,c,b,d,c,d,e,141,d
working fulltime,c,e,,c,c,someone else,b,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",married,e,no,working parttime,c,e,,d,b,someone else,d,c,,"not found, coded","not found, assigned",c,c,elementary and secondary schools,"not found, coded","not found, assigned",c,c,someone else,c,d,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,b,c,b,a,lt high school,lt high school,lt high school,lt high school,male,white,"country,nonfarm",south atlantic,same city,mother & father,,no,,,average,c,c,c,c,e,c,e,$6000 to 6999,$5000 to 5999,south atlantic,"uninc,lrg city",other urban,2,b,b,c,c,d,c,d,c,c,c,b,b,d,c,c,c,b,c,not str republican,did not vote,,other,slightly liberal,too much,about right,too little,about right,about right,about right,about right,too much,too little,too much,too little,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,favor,favor,not harsh enough,,disapprove,protestant,other,church of christ,fundamentalist,2-3x a month,not very strong,protestant,methodist-dk which,,moderate,protestant,other,church of christ,fundamentalist,protestant,baptist-dk which,,fundamentalist,disapprove,,yes,mildly object,yes,yes,4-8 blks away,stay integrated,no,no,no,"yes, object",oppose,yes,not too happy,very happy,good,exciting,great deal,great deal,great deal,great deal,great deal,only some,a great deal,a great deal,hardly any,hardly any,only some,only some,hardly any,only some,a great deal,only some,a great deal,sev times a week,never,sev times a week,once a month,disagree,disagree,disagree,agree,agree,agree,disagree,disagree,disagree,very satisfied,continue working,most impt,fourth,fifth,second,third,lower class,not at all sat,worse,below average,yes,yes,yes,no,no,no,hard work,disagree,disapprove,yes,agree,,no,no,yes,yes,yes,no,c,inappropriate,e,e,available,available,oppose,easier,not wrong at all,always wrong,always wrong,no,no,no,yes,no,no,yes,no,no,phone in home,"friendly,interested",good,standard <x>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,c,c,c,germany,names 1,less than 2 yrs,army,incorrect,correct,incorrect,correct,correct,incorrect,correct,incorrect,incorrect,incorrect,c,c,d,c,c,c,c,manufacturing supervisors,heavy truck and lorry drivers,child care workers,c,c,c,c,c,c,b,c,b,worst kind,b,c,d,c,a,b,c,b,c,c,141,e
working fulltime,e,e,,c,c,self-employed,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",married,c,no,working fulltime,c,e,,c,c,self-employed,d,d,,"not found, no code assigned","not found, not assigned",e,e,nursing care facilities,"not found, coded","not found, assigned",d,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,d,c,c,d,graduate,lt high school,lt high school,junior college,male,white,50000 to 250000,w. nor. central,different state,other,"divorce,separated",yes,yes,yes,far below average,c,c,c,c,c,c,e,$25000 or more,$25000 or more,south atlantic,"uninc,lrg city",other urban,2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,"ind,near dem",voted,nixon,,moderate,too much,too little,too much,about right,about right,too little,too much,too little,too much,too much,too much,allowed,not allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,allowed,,not remove,favor,favor,,not harsh enough,disapprove,protestant,other,church of christ,fundamentalist,2-3x a month,strong,protestant,other,church of christ,fundamentalist,protestant,other,church of christ,fundamentalist,protestant,other,church of christ,fundamentalist,,local decision,no,not object,yes,yes,4-8 blks away,stay integrated,yes,no,no,"yes, object",,yes,not too happy,very happy,excellent,exciting,great deal,very great deal,very great deal,very great deal,very great deal,only some,only some,only some,hardly any,hardly any,only some,only some,only some,a great deal,a great deal,hardly any,hardly any,once a year,sev times a year,sev times a mnth,sev times a mnth,disagree,disagree,disagree,disagree,disagree,disagree,agree,disagree,disagree,mod. satisfied,continue working,third,fourth,second,fifth,most impt,middle class,satisfied,better,above average,no,,yes,yes,no,no,hard work,disagree,approve,yes,,equal,yes,yes,yes,yes,yes,yes,e,no,e,e,available,available,favor,,sometimes wrong,almst always wrg,always wrong,no,no,no,yes,yes,yes,yes,yes,yes,phone in home,"friendly,interested",good,alternate <y>,yes,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,,e,not poor,"20,001 +",e,e,e,e,,cannot choose 1,less than 2 yrs,marines,correct,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,c,c,c,c,d,b,d,uncodeable,agricultural and forestry production managers,uncodeable,e,e,e,c,c,c,e,e,e,"bad, not worst",c,c,d,c,c,e,c,c,c,c,141,c
keeping house,e,e,yes,d,b,someone else,c,not found,c,,"not found, coded","not found, assigned",c,b,c,"not found, coded","not found, assigned",married,b,no,working fulltime,c,e,,c,c,self-employed,b,c,,"not found, coded","not found, assigned",c,c,construction,"not found, coded","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,e,e,b,lt high school,lt high school,,lt high school,female,white,"country,nonfarm",south atlantic,"same st,dif city",mother & father,,yes,no,yes,average,c,c,d,c,c,c,c,$10000 - 14999,,south atlantic,"uninc,lrg city",other urban,2,d,c,c,c,b,b,c,c,b,c,d,c,c,c,b,c,c,c,"ind,near dem",did not vote,,,,too much,too little,too little,too little,too little,too little,about right,,about right,about right,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,remove,allowed,allowed,remove,favor,favor,not harsh enough,,disapprove,protestant,methodist-dk which,,moderate,never,not very strong,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,approve,,no,not object,no,,,,yes,no,no,"yes, object",oppose,yes,pretty happy,very happy,good,routine,a fair amount,great deal,great deal,great deal,great deal,a great deal,only some,a great deal,only some,only some,only some,a great deal,a great deal,a great deal,a great deal,only some,a great deal,sev times a mnth,sev times a week,once a month,never,agree,disagree,disagree,agree,agree,agree,disagree,agree,disagree,very satisfied,,most impt,fifth,fourth,third,second,working class,not at all sat,stayed same,average,no,,yes,yes,no,no,both equally,agree,approve,yes,agree,,yes,no,yes,no,yes,no,c,no,e,e,available,available,favor,stay same,always wrong,always wrong,always wrong,yes,no,no,yes,no,no,yes,no,no,phone in home,cooperative,good,standard <x>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,c,not poor,"5,000 to 9,999",c,e,c,e,,cannot name any,none,,correct,correct,incorrect,correct,incorrect,incorrect,correct,incorrect,correct,incorrect,c,c,d,d,c,c,c,waiters,roofers,carpenters and joiners,b,c,b,b,b,c,c,b,c,worst kind,b,b,c,c,c,b,c,c,d,c,141,c
working fulltime,c,e,,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,d,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,c,c,c,e,high school,high school,high school,,female,white,"country,nonfarm",south atlantic,same city,mother & father,,yes,no,yes,average,e,c,c,c,e,c,e,$10000 - 14999,$1000 to 2999,south atlantic,"uninc,lrg city",other urban,2,c,c,c,c,c,c,e,e,e,e,e,e,c,c,c,c,b,c,"ind,near rep",did not vote,,nixon,slghtly conservative,about right,too little,too little,too little,about right,too little,too little,,about right,too much,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,not allowed,allowed,not remove,favor,favor,,,disapprove,catholic,,,moderate,every week,not very strong,catholic,,,moderate,,,,,,,,,,local decision,no,not object,no,,,,no,no,no,no,oppose,yes,pretty happy,,excellent,exciting,very great deal,very great deal,great deal,very great deal,great deal,a great deal,a great deal,only some,hardly any,only some,only some,a great deal,only some,only some,a great deal,only some,a great deal,sev times a year,once a year,sev times a week,sev times a year,disagree,disagree,agree,disagree,disagree,agree,agree,agree,agree,very satisfied,continue working,third,fourth,fifth,most impt,second,working class,more or less,stayed same,average,yes,yes,no,,no,no,hard work,disagree,approve,yes,,equal,yes,no,yes,no,yes,yes,c,yes,c,c,available,available,favor,easier,not wrong at all,always wrong,almst always wrg,yes,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,c,not poor,"5,000 to 9,999",c,c,c,c,ireland,chooses 1 of 2+,none,,correct,correct,incorrect,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,c,c,d,e,c,c,e,bank tellers and related clerks,heavy truck and lorry drivers,,c,c,b,c,c,c,e,e,e,"bad, not worst",c,c,d,c,c,c,c,c,d,e,141,e
working fulltime,c,e,,c,c,someone else,b,not found,c,,"not found, coded","not found, assigned",c,b,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",b,c,someone else,c,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,d,c,d,e,bachelor,high school,high school,,male,white,town lt 50000,new england,"same st,dif city",mother & father,,no,,,average,c,c,c,c,c,e,c,$8000 to 9999,$8000 to 9999,new england,"suburb, lrg city","suburb, 12 lrgst",56,c,c,c,c,c,c,e,e,e,e,e,e,b,b,d,d,d,d,"ind,near dem",voted,nixon,,slghtly conservative,about right,too much,too little,too little,too little,too little,too little,too much,about right,too much,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,favor,favor,,,disapprove,catholic,,,moderate,once a month,strong,catholic,,,moderate,,,,,,,,,,local decision,no,not object,yes,no,same block,stay integrated,yes,no,no,"yes, object",oppose,yes,pretty happy,,excellent,routine,a fair amount,great deal,very great deal,very great deal,very great deal,a great deal,a great deal,a great deal,only some,a great deal,a great deal,a great deal,only some,a great deal,a great deal,a great deal,a great deal,sev times a week,almost daily,sev times a week,sev times a week,disagree,disagree,disagree,disagree,agree,agree,disagree,agree,agree,very dissatisfied,continue working,third,fifth,fourth,second,most impt,working class,not at all sat,stayed same,average,yes,yes,no,,no,no,both equally,disagree,approve,yes,,equal,yes,yes,yes,yes,yes,yes,c,yes,d,e,available,available,favor,more difficult,not wrong at all,sometimes wrong,sometimes wrong,no,yes,no,no,no,no,no,yes,yes,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,c,not poor,"5,000 to 9,999",c,c,c,c,ireland,names 1,less than 2 yrs,navy,,correct,incorrect,correct,correct,correct,incorrect,incorrect,correct,incorrect,c,c,b,e,c,d,e,shop sales assistants,uncodeable,,c,c,c,e,e,e,e,e,e,good form,d,c,c,c,c,c,c,c,d,e,101,c
